,name,gene_reaction_rule,subunit_num,subunit_mw
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),b2836,1,80.70002
AMPTASEPG_num1,Aminopeptidase (pro-gly),b4260,6,54.87981
AMPTASEPG_num2,Aminopeptidase (pro-gly),b2523,6,46.18017
AMPTASEPG_num3,Aminopeptidase (pro-gly),b0932,1,98.91894
AMPTASEPG_num4,Aminopeptidase (pro-gly),b0237,2 ,52.91541
PROGLYabcpp,L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm),b3541 and b3542 and b3544 and b3540 and b3543,1 and 1 and 1 and 1 and 1 ,35.84436 and 32.30847 and 60.29367 and 37.56043 and 37.49695
GTHRDabcpp,Reduced glutathione via ABC system (periplasm),b0829 and b0831 and b0830 and b0832,1 and 1 and 1 and 1 ,69.114 and 34.06643 and 56.47023 and 33.23827
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,1,41.65561
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,1,41.65561
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,1,41.65561
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,1,41.65561
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,1,41.65561
2AGPEAT140,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),b2836,1,80.70002
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),b2836,1,80.70002
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),b2836,1,80.70002
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),b2836,1,80.70002
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),b2836,1,80.70002
LPLIPAL2ATG140,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:0)",b3825,1,38.97826
LPLIPAL2ATG141,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:1)",b3825,1,38.97826
LPLIPAL2ATG160,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:0)",b3825,1,38.97826
LPLIPAL2ATG180,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)",b3825,1,38.97826
LPLIPAL2ATG161,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)",b3825,1,38.97826
LPLIPAL2ATG181,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)",b3825,1,38.97826
CLPNS180pp_num1,"Cardiolipin synthase (periplasmic, n-C18:0)",b1249,1,54.82233
CLPNS180pp_num2,"Cardiolipin synthase (periplasmic, n-C18:0)",b0789,1 ,47.63351
CLPNS181pp_num1,"Cardiolipin synthase (periplasmic, n-C18:1)",b1249,1,54.82233
CLPNS181pp_num2,"Cardiolipin synthase (periplasmic, n-C18:1)",b0789,1 ,47.63351
PG161abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)",b0914,2,64.46071
PGP120abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)",b0914,2,64.46071
PGP161abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)",b0914,2,64.46071
PGP181abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)",b0914,2,64.46071
PA120abcpp,"Phosphatidate transport via ABC system (n-C12:0, periplasm)",b0914,2,64.46071
PLIPA1G120pp,"Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)",b3821,2,33.16313
CLPNS120pp_num1,"Cardiolipin synthase (periplasmic, n-C12:0)",b0789,1,47.63351
CLPNS120pp_num2,"Cardiolipin synthase (periplasmic, n-C12:0)",b1249,1 ,54.82233
ALPATE160pp,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",b1677 and b0657,3 and 1 ,8.32348 and 57.06582
ALPATG160pp,"Apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)",b1677 and b0657,3 and 1 ,8.32348 and 57.06582
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),b2836,1,80.70002
LPLIPAL2ATE120,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)",b3825,1,38.97826
LPLIPAL2ATE140,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:0)",b3825,1,38.97826
LPLIPAL2ATE160,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)",b3825,1,38.97826
LPLIPAL2ATE180,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)",b3825,1,38.97826
LPLIPAL2ATE141,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:1)",b3825,1,38.97826
LPLIPAL2ATE161,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)",b3825,1,38.97826
LPLIPAL2ATE181,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)",b3825,1,38.97826
FACOAL141t2pp_num1,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),b1701,1,60.77312
FACOAL141t2pp_num2,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),b1805,2 ,62.33199
FACOAL161t2pp_num1,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),b1805,2,62.33199
FACOAL161t2pp_num2,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),b1701,1 ,60.77312
PA160abcpp,"Phosphatidate transport via ABC system (n-C16:0, periplasm)",b0914,2,64.46071
PA181abcpp,"Phosphatidate transport via ABC system (n-C18:1, periplasm)",b0914,2,64.46071
PGPP140pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b0418,1,19.41811
PGPP140pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b1278,1 ,29.02126
PGPP141pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)",b0418,1,19.41811
PGPP141pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)",b1278,1 ,29.02126
PGPP160pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)",b0418,1,19.41811
PGPP160pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)",b1278,1 ,29.02126
PGPP180pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)",b0418,1,19.41811
PGPP180pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)",b1278,1 ,29.02126
PLIPA1E180pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)",b3821,2,33.16313
PLIPA1G140pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)",b3821,2,33.16313
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",b3821,2,33.16313
CLPNS160pp_num1,"Cardiolipin synthase (periplasmic, n-C16:0)",b0789,1,47.63351
CLPNS160pp_num2,"Cardiolipin synthase (periplasmic, n-C16:0)",b1249,1 ,54.82233
CLPNS161pp_num1,"Cardiolipin synthase (periplasmic, n-C16:1)",b1249,1,54.82233
CLPNS161pp_num2,"Cardiolipin synthase (periplasmic, n-C16:1)",b0789,1 ,47.63351
PG160abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)",b0914,2,64.46071
PGP140abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)",b0914,2,64.46071
PAPA120pp,"Phosphatidate phosphatase (periplasmic, n-C12:0)",b1278,1,29.02126
PAPA140pp,"Phosphatidate phosphatase (periplasmic, n-C14:0)",b1278,1,29.02126
PAPA141pp,"Phosphatidate phosphatase (periplasmic, n-C14:1)",b1278,1,29.02126
PAPA160pp,"Phosphatidate phosphatase (periplasmic, n-C16:0)",b1278,1,29.02126
PAPA161pp,"Phosphatidate phosphatase (periplasmic, n-C16:1)",b1278,1,29.02126
PAPA180pp,"Phosphatidate phosphatase (periplasmic, n-C18:0)",b1278,1,29.02126
HPYRI,Hydroxypyruvate isomerase,b0508,2,29.37743
TPRDCOAS,Triphosphoribosyl-dephospho-CoA synthase,b0613,1,31.64444
GAMptspp,D-glucosamine transport via PEP:Pyr PTS (periplasm),b1817 and b2416 and b2415 and b1819 and b1818,2 and 2 and 1 and 2 and 1 ,35.04755 and 63.56184 and 9.11937 and 30.95549 and 27.63578
GSNt2pp,Guanosine transport in via proton symport (periplasm),b2964,1,46.38924
GSNtex_num1,Guanosine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GSNtex_num2,Guanosine transport via diffusion (extracellular to periplasm),b0241,3,38.922
GSNtex_num3,Guanosine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GSNtex_num4,Guanosine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
FORtex_num1,Formate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
FORtex_num2,Formate transport via diffusion (extracellular to periplasm),b0241,3,38.922
FORtex_num3,Formate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
FORtex_num4,Formate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
D_LACt2pp_num1,D-lactate transport via proton symport (periplasm),b3603,1,59.1682
D_LACt2pp_num2,D-lactate transport via proton symport (periplasm),b2975,1 ,58.92016
RIBtex_num1,Ribose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
RIBtex_num2,Ribose transport via diffusion (extracellular to periplasm),b0241,3,38.922
RIBtex_num3,Ribose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
RIBtex_num4,Ribose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
FLVRx,Flavin reductase (NAD),b3844,1,26.24199
THMtex_num1,Thiamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
THMtex_num2,Thiamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
THMtex_num3,Thiamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
THMtex_num4,Thiamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
XYLUtex_num1,L-xylulose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
XYLUtex_num2,L-xylulose transport via diffusion (extracellular to periplasm),b0241,3,38.922
XYLUtex_num3,L-xylulose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
XYLUtex_num4,L-xylulose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ALLtex_num1,Allose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ALLtex_num2,Allose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ALLtex_num3,Allose transport via diffusion (extracellular to periplasm),b0241,3,38.922
ALLtex_num4,Allose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GGPTRCO,Gamma glutamyl putrescine oxidase,b1301,1,47.16954
34dhpactex_num1,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377,1,41.21985
34dhpactex_num2,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b0241,3,38.922
34dhpactex_num3,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b0929,3,39.33331
34dhpactex_num4,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
MALTHXtexi,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,b4036,3,49.91223
HYD1pp_num1,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),( b2996 and b2994 and b2997 and b2995 ),( 1 and 1 and 1 and 1 ),( 36.003 and 62.49116 and 39.65201 and 43.60204 )
HYD1pp_num2,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),( b0974 and b0973 and b0972 ),( 2 and 4 and 4 ),27.59731 and 66.25337 and 40.68136
HYD1pp_num3,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),( b2721 and b2724 and b2722 and b2723 and b2720 and b2719 ),( 1 and 1 and 1 and 1 and 1 and 1 ) ,64.98036 and 21.87324 and 33.02936 and 64.07712 and 20.30935 and 27.99916
FE3DHBZStonex_num1,"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)",( b3006 and b1252 and b3005 and b0805 ),( 1 and 1 and 1 and 1 ),( 26.28739 and 26.09426 and 15.52698 and 81.96005 )
FE3DHBZStonex_num2,"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)",( b3006 and b1252 and b3005 and b2155 ),( 1 and 1 and 1 and 1 ) ,26.28739 and 26.09426 and 15.52698 and 73.89573
23DAPPAtex_num1,"2,3-diaminopropionate transport via diffusion",b1377,1,41.21985
23DAPPAtex_num2,"2,3-diaminopropionate transport via diffusion",b0241,3,38.922
23DAPPAtex_num3,"2,3-diaminopropionate transport via diffusion",b0929,3,39.33331
23DAPPAtex_num4,"2,3-diaminopropionate transport via diffusion",b2215,3 ,40.36812
ECAP3pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,1 and 1 and 1,39.4891 and 51.51729 and 44.95965
FEOXAMtonex,Ferroxamine transport via ton system (extracellular),b0150 and b3006 and b1252 and b3005,1 and 1 and 1 and 1 ,82.18228 and 26.28739 and 26.09426 and 15.52698
FMNRx_num1,FMN reductase,b0937,2,21.25333
FMNRx_num2,FMN reductase,b3844,1 ,26.24199
PHEt2rpp_num1,L-phenylalanine reversible transport via proton symport (periplasm),b0576,1,50.6773
PHEt2rpp_num2,L-phenylalanine reversible transport via proton symport (periplasm),b0112,1 ,49.69013
DHBS,"2,3-dihydroxybenzoate adenylate synthase",b0594,2,59.11215
MDDCP1pp_num1,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b0376,1,41.84903
MDDCP1pp_num2,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b0839,2,43.60891
MDDCP1pp_num3,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b0632,2,44.44396
MDDCP1pp_num4,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b3182,1,51.79831
MDDCP1pp_num5,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b2010,1,43.34606
MDDCP1pp_num6,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b2430,1 ,47.75238
GUI2,Glucuronate isomerase (D-galacturonate),b3092,1,53.98718
OMBZLM,2-Octaprenyl-6-methoxy-benzoquinol methylase,b3833,1,28.07321
GLYCK,Glycerate kinase,b0514,1,38.73448
MLTG5,Maltodextrin glucosidase (maltoheptaose),b0403,1,69.041
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),b3449,1,27.40958
2DOXG6PP_num1,2 deoxyglucose 6 phosphatase,b2293,1,23.00752
2DOXG6PP_num2,2 deoxyglucose 6 phosphatase,b3826,1,29.70773
2DOXG6PP_num3,2 deoxyglucose 6 phosphatase,b1727,1,24.33024
2DOXG6PP_num4,2 deoxyglucose 6 phosphatase,b0446,1 ,30.37091
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",b1107,1,37.59473
MPTG_num1,Murein polymerizing transglycosylase,( b1069 and b2519 and b0089 ),( 1 and 1 and 1 ),( 55.26747 and 85.06695 and 45.98709 )
MPTG_num2,Murein polymerizing transglycosylase,( b0089 and b1069 and b3208 ),( 1 and 1 and 1 ),45.98709 and 55.26747 and 27.34161
MPTG_num3,Murein polymerizing transglycosylase,( b1069 and b3396 and b0089 ),( 1 and 1 and 1 ),55.26747 and 93.63617 and 45.98709
MPTG_num4,Murein polymerizing transglycosylase,( b1069 and b0149 and b0089 ),( 1 and 1 and 1 ) ,55.26747 and 94.29255 and 45.98709
MPTG2_num1,Murein polymerizing transglycosylase 2 (three linked units),( b1069 and b3396 and b0089 ),( 1 and 1 and 1 ),( 55.26747 and 93.63617 and 45.98709 )
MPTG2_num2,Murein polymerizing transglycosylase 2 (three linked units),( b1069 and b0149 and b0089 ),( 1 and 1 and 1 ),55.26747 and 94.29255 and 45.98709
MPTG2_num3,Murein polymerizing transglycosylase 2 (three linked units),( b0089 and b1069 and b3208 ),( 1 and 1 and 1 ),45.98709 and 55.26747 and 27.34161
MPTG2_num4,Murein polymerizing transglycosylase 2 (three linked units),( b1069 and b2519 and b0089 ),( 1 and 1 and 1 ) ,55.26747 and 85.06695 and 45.98709
MCTP1App_num1,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b3396 ),( 1 and 1 and 1 ),( 63.87743 and 70.85661 and 93.63617 )
MCTP1App_num2,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b0149 ),( 1 and 1 and 1 ) ,63.87743 and 70.85661 and 94.29255
MCTP2App_num1,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b3396 ),( 1 and 1 and 1 ),( 63.87743 and 70.85661 and 93.63617 )
MCTP2App_num2,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b0149 ),( 1 and 1 and 1 ) ,63.87743 and 70.85661 and 94.29255
MCTP1Bpp_num1,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),b1678,1,36.08235
MCTP1Bpp_num2,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),b0925,1 ,67.81249
MELIBt3ipp,Melibiose transport in via antiport (periplasm),b1528,1,42.53821
GLCtex_copy2_num1,,b0241,3,38.922
GLCtex_copy2_num2,,b0929,3,39.33331
GLCtex_copy2_num3,,b1377,1,41.21985
GLCtex_copy2_num4,,b2215,3 ,40.36812
NAt3pp_num1,Sodium transport out via proton antiport (cytoplasm to periplasm),b0842,1,44.32093
NAt3pp_num2,Sodium transport out via proton antiport (cytoplasm to periplasm),b1216,1 ,39.16846
SFGTHi_num1,S-Formylglutathione hydralase,b2154,4,31.25928
SFGTHi_num2,S-Formylglutathione hydralase,b0355,1 ,31.42448
K2L4Aabcpp,KDO(2)-lipid IV A transport via ABC system (periplasm),b0914,2,64.46071
DSBCGT,DsbC:glutathione thiotransferase,b2893,2,25.62166
DSBGGT,DsbG:glutathione thiotransferase,b0604,2,27.49499
DHNAOT4,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",b3930,1,33.59397
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,b3994,1,70.85036
THIORDXi_num1,Hydrogen peroxide reductase (thioredoxin),b1710,1,20.46956
THIORDXi_num2,Hydrogen peroxide reductase (thioredoxin),( b3781 and b2480 ),( 1 and 1 ),11.80662 and 17.63394
THIORDXi_num3,Hydrogen peroxide reductase (thioredoxin),( b2582 and b2480 ),( 1 and 1 ) ,15.55477 and 17.63394
PPPGO3,Protoporphyrinogen oxidase (anaerobic),b3850,4,21.2263
PDX5POi,Pyridoxine 5'-phosphate oxidase,b1638,2,25.54515
PLIPA1A181pp,"Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)",b3821,2,33.16313
LPLIPAL2A141,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)",b3825,1,38.97826
HG2t3pp,Mercury (Hg+2) transport out via proton antiport (periplasm),b3915,2,32.92726
CYTBO3_4pp,Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),b0429 and b0432 and b0431 and b0430,1 and 1 and 1 and 1 ,12.02945 and 34.9113 and 74.36791 and 22.62262
EAR141x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),b1288,4,27.86394
EAR181x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),b1288,4,27.86394
EAR181y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),b1288,4,27.86394
G3PAT141,Glycerol-3-phosphate acyltransferase (C14:1),b1094 and b4041,1 and 1 ,8.63952 and 91.38145
G3PAT181,Glycerol-3-phosphate acyltransferase (C18:1),b1094 and b4041,1 and 1 ,8.63952 and 91.38145
DASYN140,CDP-diacylglycerol synthetase (n-C14:0),b0175,1,31.45378
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),b0175,1,31.45378
DASYN141,CDP-diacylglycerol synthetase (n-C14:1),b0175,1,31.45378
CDAPPA160,CDP-Diacylglycerol pyrophostatase (n-C16:0),b3918,1,28.45076
CDAPPA141,CDP-Diacylglycerol pyrophostatase (n-C14:1),b3918,1,28.45076
PGSA141,Phosphatidylglycerol synthase (n-C14:1),b1912,1,20.70064
5DOAN,5'-deoxyadenosine nuclosidase,b0159,2,24.35397
FACOAE120,Fatty-acid-CoA thioesterase (dodecanoate),b0452,4,31.96633
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),b1093,4,25.56029
3HAD80_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),b0954,2,18.96905
3HAD80_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),b0180,6 ,17.03295
3HAD120_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),b0180,6,17.03295
3HAD120_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),b0954,2 ,18.96905
EAR180x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),b1288,4,27.86394
SO4t2pp,Sulfate transport in via proton symport (periplasm to cytoplasm),b2413,1,29.305
EAR180y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),b1288,4,27.86394
AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),b3018,1,27.45316
PGPP120_num1,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b0418,1,19.41811
PGPP120_num2,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b1278,1 ,29.02126
DAGK120,Diacylglycerol kinase (n-C12:0),b4042,3,13.24468
PSSA180,Phosphatidylserine syntase (n-C18:0),b2585,1,52.80179
PSSA161,Phosphatidylserine syntase (n-C16:1),b2585,1,52.80179
PSSA141,Phosphatidylserine syntase (n-C14:1),b2585,1,52.80179
PSD160,Phosphatidylserine decarboxylase (n-C16:0),b4160,1,35.93442
PSD161,Phosphatidylserine decarboxylase (n-C16:1),b4160,1,35.93442
PSD180,Phosphatidylserine decarboxylase (n-C18:0),b4160,1,35.93442
COLIPAabcpp,Core oligosaccharide lipid A transport via ABC system (periplasm),b0914,2,64.46071
PLIPA2A140pp,"Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)",b3821,2,33.16313
PLIPA2A141pp,"Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)",b3821,2,33.16313
PLIPA2A180pp,"Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)",b3821,2,33.16313
GAM6Pt6_2pp,D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm),b3666,1,50.6066
PPALtex_num1,Propanal transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PPALtex_num2,Propanal transport via diffusion (extracellular to periplasm),b0241,3,38.922
PPALtex_num3,Propanal transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PPALtex_num4,Propanal transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
CA2tex_num1,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b1377,1,41.21985
CA2tex_num2,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b0241,3,38.922
CA2tex_num3,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b0929,3,39.33331
CA2tex_num4,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
CUtex_num1,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b1377,1,41.21985
CUtex_num2,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b0241,3,38.922
CUtex_num3,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b0929,3,39.33331
CUtex_num4,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
CU1Opp,Cuprous Oxidase (Cu+1),b0123,1,56.55615
SUCDi,Succinate dehydrogenase (irreversible),b0723 and b0721 and b0722 and b0724,3 and 3 and 3 and 3 ,64.42184 and 14.29915 and 12.86754 and 26.76986
LPLIPAL1E141pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)",b0494,4,23.62216
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,b3945,8,38.7122
12PPDRtex_num1,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377,1,41.21985
12PPDRtex_num2,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b0241,3,38.922
12PPDRtex_num3,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b0929,3,39.33331
12PPDRtex_num4,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b2215,3 ,40.36812
LPLIPAL1E160pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)",b0494,4,23.62216
LPLIPAL1E180pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)",b0494,4,23.62216
LPLIPAL1E181pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)",b0494,4,23.62216
LPLIPAL1G160pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)",b0494,4,23.62216
LPLIPAL1G161pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)",b0494,4,23.62216
LPLIPAL1G120pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)",b0494,4,23.62216
PLIPA2E140pp,"Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)",b3821,2,33.16313
PLIPA2E160pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)",b3821,2,33.16313
PLIPA2A161pp,"Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)",b3821,2,33.16313
PLIPA2A181pp,"Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)",b3821,2,33.16313
F6Ptex_num1,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
F6Ptex_num2,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
F6Ptex_num3,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
F6Ptex_num4,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GAMAN6Ptex_num1,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GAMAN6Ptex_num2,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GAMAN6Ptex_num3,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GAMAN6Ptex_num4,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ALR4x,Aldose reductase (acetol),b3945,8,38.7122
LPLIPAL1G141pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)",b0494,4,23.62216
