,name,gene_reaction_rule,subunit_mw,subunit_num
PGSA181,Phosphatidylglycerol synthase (n-C18:1),b1912,20.70064,1
PGPP140,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
PGPP141,Phosphatidylglycerol phosphate phosphatase (n-C14:1),b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
MDDCP5pp,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,47.752 or 43.60891 or 44.44396 or 51.79831 or 43.34606 or 41.849 ,1 or 2 or 2 or 1 or 1 or 1 
MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),b0211 or b2963 or b2701 or b4392 or b2813 or b1193 or b2558 or b1097,49.417 or 40.11251 or 40.25575 or 73.35315 or 40.41061 or 22.22655 or 58.30215 or 38.247 ,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
AGPAT140,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0),b3018,27.45316,1
PGSA160,Phosphatidylglycerol synthase (n-C16:0),b1912,20.70064,1
MLDCP2Bpp,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b1678 or b0819 or b1113 or b1990 or b0925,36.082 or 34.636 or 34.636 or 34.411 or 67.812 ,1 or 1 or 1 or 1 or 1 
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),b2323 or b1095,42.61332 or 43.04576 ,2 or 2 
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),b1093,25.56029,4
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),b1093,25.56029,4
PGSA161,Phosphatidylglycerol synthase (n-C16:1),b1912,20.70064,1
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
PGPP160,Phosphatidylglycerol phosphate phosphatase (n-C16:0),b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
PGPP180,Phosphatidylglycerol phosphate phosphatase (n-C18:0),b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
PGPP161,Phosphatidylglycerol phosphate phosphatase (n-C16:1),b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
PGPP181,Phosphatidylglycerol phosphate phosphatase (n-C18:1),b1278 or b0418,29.02126 or 19.41811 ,1 or 1 
CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),b3918,28.45076,1
NTP12,Nucleoside-triphosphatase (XTP),b4394,18.21266,2
PE141abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",b0914,64.46071,2
PE161abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)",b0914,64.46071,2
PSD141,Phosphatidylserine decarboxylase (n-C14:1),b4160,35.93442,1
PG140abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
PG141abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PG180abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PG181abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)",b0914,64.46071,2
PGP141abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PGP160abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)",b0914,64.46071,2
PGP180abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PAPA181pp,"Phosphatidate phosphatase (periplasmic, n-C18:1)",b1278,29.02126,1
PA140abcpp,"Phosphatidate transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
MDDCP4pp,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,47.752 or 43.60891 or 44.44396 or 51.79831 or 43.34606 or 41.849 ,1 or 2 or 2 or 1 or 1 or 1 
CLPNS140pp,"Cardiolipin synthase (periplasmic, n-C14:0)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
CLPNS141pp,"Cardiolipin synthase (periplasmic, n-C14:1)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
PG120abcpp,"Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)",b0914,64.46071,2
PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",b1661,43.909,2
CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",b1661,43.909,2
CFAS180G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)",b1661,43.909,2
PAPA160,Phosphatidate phosphatase (n-C16:0),b1278,29.02126,1
PAPA180,Phosphatidate phosphatase (n-C18:0),b1278,29.02126,1
PAPA181,Phosphatidate phosphatase (n-C18:1),b1278,29.02126,1
PETNT161pp,Phosphoethanolamine transferase (c-C16:1),b3546,63.80439,1
PSSA160,Phosphatidylserine syntase (n-C16:0),b2585,52.80179,1
PSSA181,Phosphatidylserine syntase (n-C18:1),b2585,52.80179,1
DAGK140,Diacylglycerol kinase (n-C14:0),b4042,13.24468,3
DAGK160,Diacylglycerol kinase (n-C16:0),b4042,13.24468,3
DAGK141,Diacylglycerol kinase (n-C14:1),b4042,13.24468,3
DAGK161,Diacylglycerol kinase (n-C16:1),b4042,13.24468,3
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),b3018,27.45316,1
MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b1655 or b2175 or b2328 or b3182 or b2134 or b0376 or b1856,29.917 or 21.04 or 30.13667 or 51.79831 or 33.88741 or 41.849 or 49.058 ,1 or 1 or 2 or 1 or 1 or 1 or 1 
MDDEP4pp,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b1655 or b0376 or b2328 or b3182 or b2134 or b2175 or b1856,29.917 or 41.849 or 30.13667 or 51.79831 or 33.88741 or 21.04 or 49.058 ,1 or 1 or 2 or 1 or 1 or 1 or 1 
MLTGY1pp,Murein lytic transglycosylase (murein4p4p) (periplasm),b0211 or b1193 or b2813 or b2963 or b4392 or b2701 or b2558 or b1097,49.417 or 22.22655 or 40.41061 or 40.11251 or 73.35315 or 40.25575 or 58.30215 or 38.247 ,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
CGLYtex,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",b3821,33.16313,2
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),b1095 or b2323,43.04576 or 42.61332 ,2 or 2 
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),b2323 or b1095,42.61332 or 43.04576 ,2 or 2 
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),b1093,25.56029,4
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),b1093,25.56029,4
MLDCP3App,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b1678 or b1990 or b0925 or b1113 or b0819,36.082 or 34.411 or 67.812 or 34.636 or 34.636 ,1 or 1 or 1 or 1 or 1 
MLDCP1Bpp,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b1678 or b1990 or b0925 or b1113 or b0819,36.082 or 34.411 or 67.812 or 34.636 or 34.636 ,1 or 1 or 1 or 1 or 1 
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",b3821,33.16313,2
PLIPA1G141pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)",b3821,33.16313,2
LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",b3825,38.97826,1
LPLIPAL2G140,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",b3825,38.97826,1
LPLIPAL2G160,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",b3825,38.97826,1
2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
LPLIPAL2G120,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",b3825,38.97826,1
PA141abcpp,"Phosphatidate transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PA161abcpp,"Phosphatidate transport via ABC system (n-C16:1, periplasm)",b0914,64.46071,2
PA180abcpp,"Phosphatidate transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PGPP161pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)",b0418 or b1278,19.41811 or 29.02126 ,1 or 1 
PE120abcpp,"Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)",b0914,64.46071,2
PE180abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PAPA140,Phosphatidate phosphatase (n-C14:0),b1278,29.02126,1
PAPA141,Phosphatidate phosphatase (n-C14:1),b1278,29.02126,1
PAPA161,Phosphatidate phosphatase (n-C16:1),b1278,29.02126,1
GTHOXtex,Glutathione (ox) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DSBAO1,DsbA protein reoxidation reaction (aerobic),b1185 and b3860,20.14219 and 23.10454 ,1 and 1 
DSBAO2,DsbA protein reoxidation reaction (anaerobic),b1185 and b3860,20.14219 and 23.10454 ,1 and 1 
DSBDR,DsbD reductase,( b2582 and b4136 ) or ( b3781 and b4136 ),( 15.55477 and 61.7951 ) or ( 11.80662 and 61.7951 ) ,( 1 and 1 ) or ( 1 and 1 ) 
TDSR1,Thiol:disulfide reductase (DsbC),b2893 and b4136,25.62166 and 61.7951 ,2 and 1 
CGLYabcpp,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),b3540 and b3542 and b3544 and b3543 and b3541,37.56043 and 32.30847 and 60.29367 and 37.49695 and 35.84436 ,1 and 1 and 1 and 1 and 1 
PLIPA2A120pp,"Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)",b3821,33.16313,2
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",b3821,33.16313,2
LPLIPAL2E120,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",b3825,38.97826,1
EAR100x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),b1288,27.86394,4
EAR120x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),b1288,27.86394,4
EAR160x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),b1288,27.86394,4
EAR140y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),b1288,27.86394,4
3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),b2323,42.61332,2
3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),b2323 or b1095,42.61332 or 43.04576 ,2 or 2 
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),b2323 or b1095,42.61332 or 43.04576 ,2 or 2 
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),b1095 or b2323,43.04576 or 42.61332 ,2 or 2 
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),b1093,25.56029,4
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),b1093,25.56029,4
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),b3018,27.45316,1
AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),b3018,27.45316,1
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),b3018,27.45316,1
DASYN120,CDP-diacylglycerol synthetase (n-C12:0),b0175,31.45378,1
EAR40x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),b1288,27.86394,4
EAR60y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),b1288,27.86394,4
MLDEP1pp,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",b2328,30.13667,2
MLDEP2pp,"Murein L,D-endopeptidase (murein5px3p) (periplasm)",b2328,30.13667,2
MLTGY2pp,Murein lytic transglycosylase (murein4p3p) (periplasm),b0211 or b1193 or b2813 or b2963 or b4392 or b2701 or b2558 or b1097,49.417 or 22.22655 or 40.41061 or 40.11251 or 73.35315 or 40.25575 or 58.30215 or 38.247 ,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
MLTGY4pp,Murein lytic transglycosylase (murein4px4p4p) (periplasm),b0211 or b2963 or b2701 or b4392 or b2813 or b1193 or b2558 or b1097,49.417 or 40.11251 or 40.25575 or 73.35315 or 40.41061 or 22.22655 or 58.30215 or 38.247 ,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
EAR60x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),b1288,27.86394,4
EAR80x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),b1288,27.86394,4
PE181abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)",b0914,64.46071,2
NTP11,Nucleoside-triphosphatase (dITP),b4394,18.21266,2
3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),b1095 or b2323,43.04576 or 42.61332 ,2 or 2 
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),b0954 or b0180,18.96905 or 17.03295 ,2 or 6 
CDAPPA120,CDP-Diacylglycerol pyrophostatase (n-C12:0),b3918,28.45076,1
PSSA120,Phosphatidylserine syntase (n-C12:0),b2585,52.80179,1
PSD120,Phosphatidylserine decarboxylase (n-C12:0),b4160,35.93442,1
PAPA120,Phosphatidate phosphatase (n-C12:0),b1278,29.02126,1
MDDEP1pp,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",b2175 or b1655 or b2328 or b3182 or b2134 or b1856 or b0376,21.04 or 29.917 or 30.13667 or 51.79831 or 33.88741 or 49.058 or 41.849 ,1 or 1 or 2 or 1 or 1 or 1 or 1 
MDDEP2pp,"Murein D,D-endopeptidase (murein3px4p) (periplasm)",b2175 or b1655 or b2328 or b3182 or b2134 or b1856 or b0376,21.04 or 29.917 or 30.13667 or 51.79831 or 33.88741 or 49.058 or 41.849 ,1 or 1 or 2 or 1 or 1 or 1 or 1 
PSD181,Phosphatidylserine decarboxylase (n-C18:1),b4160,35.93442,1
DAGK180,Diacylglycerol kinase (n-C18:0),b4042,13.24468,3
DAGK181,Diacylglycerol kinase (n-C18:1),b4042,13.24468,3
PLIPA2E120pp,"Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)",b3821,33.16313,2
PLIPA2G141pp,"Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)",b3821,33.16313,2
PLIPA2G161pp,"Phospholipase A2 (phosphatidylglycerol, n-C16:1) (periplasm)",b3821,33.16313,2
LPLIPAL1A120pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)",b0494,23.62216,4
LPLIPAL1A140pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)",b0494,23.62216,4
LPLIPAL1A181pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)",b0494,23.62216,4
LPLIPAL1E120pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)",b0494,23.62216,4
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),b1093,25.56029,4
G3PAT120,Glycerol-3-phosphate acyltransferase (C12:0),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
PGSA120,Phosphatidylglycerol synthase (n-C12:0),b1912,20.70064,1
TDSR2,Thiol:disulfide reductase (DsbG),b0604 and b4136,27.49499 and 61.7951 ,2 and 1 
GTHRDtex,Glutathione transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GTHRDabc2pp,Glutathione export via ABC system (cytoplasm to periplasm),b0886 and b0887,62.92017 and 65.05619 ,1 and 1 
NADHPO,NADH peroxidase,b0606 and b0605,56.177 and 20.761 ,2 and 10 
ACOAD7f,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),b0221,89.22444,1
ACOAD8f,Acyl-CoA dehydrogenase (octadecanoyl-CoA),b0221,89.22444,1
ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),b0221,89.22444,1
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),b0221,89.22444,1
ACOAD2f,Acyl-CoA dehydrogenase (hexanoyl-CoA),b0221,89.22444,1
ACOAD4f,Acyl-CoA dehydrogenase (decanoyl-CoA),b0221,89.22444,1
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),b0221,89.22444,1
NADH16pp,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,19.87465 and 20.53775 and 25.05582 and 16.45733 and 36.21915 and 56.52454 and 10.84502 and 49.29245 and 66.43808 and 52.04409 and 100.2992 and 68.23611 and 18.59005 ,1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 
NADH18pp,NADH dehydrogenase (demethylmenaquinone-8 & 3 protons) (periplasm),b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,19.87465 and 20.53775 and 25.05582 and 16.45733 and 36.21915 and 56.52454 and 10.84502 and 49.29245 and 66.43808 and 52.04409 and 100.2992 and 68.23611 and 18.59005 ,1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 
GLYBt2pp,Glycine betaine transport via proton symport (periplasm),b1801 or b4111,52.88118 or 54.84582 ,1 or 2 
DSERt2pp,D-serine transport in via proton symport (periplasm),b4208,51.65966,1
ALAt4pp,L-alanine transport in via sodium symport (periplasm),b0007,51.66288,1
LYSt3pp,L-lysine transport out via proton antiport (cytoplasm to periplasm),b2923 or b0874,23.1757 or 32.34 ,1 or 1 
CTBTCAL2,Crotonobetaine-CoA Ligase,b0037,58.55909,1
BGLA1,6-phospho-beta-glucosidase,b2716 or b1734 or b3721,53.935 or 50.5125 or 53.161 ,1 or 4 or 1 
GDPMNP,GDP-mannose phyrophosphatase,b2467,21.74866,2
AMMQLT8,S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8),b3833,28.07321,1
FA120ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
FA80ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
FA140ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
FA100ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
CRNDCAL2,D-Carnitine-CoA Ligase,b0037,58.55909,1
CRNCAL2,Carnitine-CoA Ligase,b0037,58.55909,1
CHLt2pp,Choline transport via proton symport (periplasm),b0314 or b1801,75.84219 or 52.88118 ,1 or 1 
GLYt4pp,Glycine transport in via sodium symport (periplasm),b0007,51.66288,1
FRULYSE,Fructoselysine 3-epimerase,b4474,31.16883,8
FRULYSt2pp,Fructoselysine transport via proton symport (periplasm),b3370,47.57654,1
TUNGStex,Tungstate transport via diffusion (extracellular to periplasm),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
COBALT2tpp,Cobalt transport in via permease (no H+),b3040 or b3816,26.48477 or 36.58971 ,1 or 1 
OXCDC,Oxalyl-CoA decarboxylase,b2373,60.58123,4
LPLIPAL2A140,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:0)",b3825,38.97826,1
LPLIPAL2A160,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)",b3825,38.97826,1
LPLIPAL2A161,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)",b3825,38.97826,1
LPLIPAL2A180,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)",b3825,38.97826,1
LPLIPAL2A181,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)",b3825,38.97826,1
UM3PL,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,b4233,49.87412,1
UM4PL,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate-D-alanine ligase,b4233,49.87412,1
2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,b0446 or b1134,30.37091 or 17.43291 ,1 or 1 
ZN2tpp,Zinc transport in via permease (no H+),b3040,26.48477,1
NI2tpp,Nickel (+2) transport in via permease (no H+),b3816,36.58971,1
COBALT2t3pp,Cobalt (Co+2) transport out via proton antiport (periplasm),b0752 or b3915,34.67842 or 32.92726 ,1 or 2 
PLIPA1A120pp,"Phospholipase A1 (phosphatidate, n-C12:0) (periplasm)",b3821,33.16313,2
PLIPA1A140pp,"Phospholipase A1 (phosphatidate, n-C14:0) (periplasm)",b3821,33.16313,2
PLIPA1A141pp,"Phospholipase A1 (phosphatidate, n-C14:1) (periplasm)",b3821,33.16313,2
PLIPA1A160pp,"Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)",b3821,33.16313,2
PLIPA1A161pp,"Phospholipase A1 (phosphatidate, n-C16:1) (periplasm)",b3821,33.16313,2
PLIPA1A180pp,"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)",b3821,33.16313,2
LPLIPAL2A120,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)",b3825,38.97826,1
CAt6pp,Calcium / sodium antiporter (1:1),b3196,34.74061,1
5DGLCNt2rpp,"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)",b4265,46.04129,1
GALCTNt2pp,D-galactonate transport via proton symport (periplasm),b3691,47.07673,1
GALCTNLtex,L-galactonate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b1377 or b0241,39.33331 or 40.36812 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
KDUI,5-keto-4-deoxyuronate isomerase,b2843,31.076,6
CA2t3pp,Calcium (Ca+2) transport out via proton antiport (periplasm),b1216,39.16846,1
NADH17pp,NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm),b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,19.87465 and 20.53775 and 25.05582 and 16.45733 and 36.21915 and 56.52454 and 10.84502 and 49.29245 and 66.43808 and 52.04409 and 100.2992 and 68.23611 and 18.59005 ,1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 
FA161ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
FA141ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
ARGt3pp,L-arginine transport out via proton antiport (cytoplasm to periplasm),b2923,23.1757,1
FA160ACPHi,Fatty-acyl-ACP hydrolase,b0404,22.9611,1
MALDtex,D-Malate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
OROTtex,Orotate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
PPAt4pp,Na+/Propionate symporter (periplasm),b1015,54.34417,1
OROTt2_2pp,Orotate transport via proton symport (2 H) (periplasm),b3528,45.43628,1
MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm),b3528,45.43628,1
5DGLCNtex,5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
DTARTD,D(-)-tartrate dehydratase,b4122,60.10532,2
PLIPA2E161pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)",b3821,33.16313,2
PLIPA2E180pp,"Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)",b3821,33.16313,2
PLIPA2G120pp,"Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)",b3821,33.16313,2
PLIPA2G180pp,"Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)",b3821,33.16313,2
