,name,gene_reaction_rule,subunit_num
LPLIPAL2ATE181,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)",b3825,1
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),b1701 or b1805,1 or 2 
FACOAL161t2pp,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),b1805 or b1701,2 or 1 
PA160abcpp,"Phosphatidate transport via ABC system (n-C16:0, periplasm)",b0914,2
PA181abcpp,"Phosphatidate transport via ABC system (n-C18:1, periplasm)",b0914,2
PGPP140pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b0418 or b1278,1 or 1 
PGPP141pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)",b0418 or b1278,1 or 1 
PGPP160pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)",b0418 or b1278,1 or 1 
PGPP180pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)",b0418 or b1278,1 or 1 
PLIPA1E180pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)",b3821,2
PLIPA1G140pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)",b3821,2
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",b3821,2
CLPNS160pp,"Cardiolipin synthase (periplasmic, n-C16:0)",b0789 or b1249,1 or 1 
CLPNS161pp,"Cardiolipin synthase (periplasmic, n-C16:1)",b1249 or b0789,1 or 1 
PG160abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)",b0914,2
PGP140abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)",b0914,2
PAPA120pp,"Phosphatidate phosphatase (periplasmic, n-C12:0)",b1278,1
PAPA140pp,"Phosphatidate phosphatase (periplasmic, n-C14:0)",b1278,1
PAPA141pp,"Phosphatidate phosphatase (periplasmic, n-C14:1)",b1278,1
PAPA160pp,"Phosphatidate phosphatase (periplasmic, n-C16:0)",b1278,1
PAPA161pp,"Phosphatidate phosphatase (periplasmic, n-C16:1)",b1278,1
PAPA180pp,"Phosphatidate phosphatase (periplasmic, n-C18:0)",b1278,1
HPYRI,Hydroxypyruvate isomerase,b0508,2
TPRDCOAS,Triphosphoribosyl-dephospho-CoA synthase,b0613,1
GAMptspp,D-glucosamine transport via PEP:Pyr PTS (periplasm),b1817 and b2416 and b2415 and b1819 and b1818,2 and 2 and 1 and 2 and 1 
GSNt2pp,Guanosine transport in via proton symport (periplasm),b2964,1
GSNtex,Guanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FORtex,Formate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
D_LACt2pp,D-lactate transport via proton symport (periplasm),b3603 or b2975,1 or 1 
RIBtex,Ribose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FLVRx,Flavin reductase (NAD),b3844,1
THMtex,Thiamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
XYLUtex,L-xylulose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ALLtex,Allose transport via diffusion (extracellular to periplasm),b1377 or b0929 or b0241 or b2215,1 or 3 or 3 or 3 
GGPTRCO,Gamma glutamyl putrescine oxidase,b1301,1
34dhpactex,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MALTHXtexi,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,b4036,3
HYD1pp,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),( b2996 and b2994 and b2997 and b2995 ) or ( b0974 and b0973 and b0972 ) or ( b2721 and b2724 and b2722 and b2723 and b2720 and b2719 ),( 1 and 1 and 1 and 1 ) or ( 2 and 4 and 4 ) or ( 1 and 1 and 1 and 1 and 1 and 1 ) 
FE3DHBZStonex,"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)",( b3006 and b1252 and b3005 and b0805 ) or ( b3006 and b1252 and b3005 and b2155 ),( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
23DAPPAtex,"2,3-diaminopropionate transport via diffusion",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ECAP3pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,1 and 1 and 1
FEOXAMtonex,Ferroxamine transport via ton system (extracellular),b0150 and b3006 and b1252 and b3005,1 and 1 and 1 and 1 
FMNRx,FMN reductase,b0937 or b3844,2 or 1 
PHEt2rpp,L-phenylalanine reversible transport via proton symport (periplasm),b0576 or b0112,1 or 1 
DHBS,"2,3-dihydroxybenzoate adenylate synthase",b0594,2
MDDCP1pp,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",b0376 or b0839 or b0632 or b3182 or b2010 or b2430,1 or 2 or 2 or 1 or 1 or 1 
GUI2,Glucuronate isomerase (D-galacturonate),b3092,1
OMBZLM,2-Octaprenyl-6-methoxy-benzoquinol methylase,b3833,1
GLYCK,Glycerate kinase,b0514,1
MLTG5,Maltodextrin glucosidase (maltoheptaose),b0403,1
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),b3449,1
2DOXG6PP,2 deoxyglucose 6 phosphatase,b2293 or b3826 or b1727 or b0446,1 or 1 or 1 or 1 
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",b1107,1
MPTG,Murein polymerizing transglycosylase,( b1069 and b2519 and b0089 ) or ( b0089 and b1069 and b3208 ) or ( b1069 and b3396 and b0089 ) or ( b1069 and b0149 and b0089 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
MPTG2,Murein polymerizing transglycosylase 2 (three linked units),( b1069 and b3396 and b0089 ) or ( b1069 and b0149 and b0089 ) or ( b0089 and b1069 and b3208 ) or ( b1069 and b2519 and b0089 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
MCTP1App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b3396 ) or ( b0084 and b0635 and b0149 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
MCTP2App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),( b0084 and b0635 and b3396 ) or ( b0084 and b0635 and b0149 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
MCTP1Bpp,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),b1678 or b0925,1 or 1 
MELIBt3ipp,Melibiose transport in via antiport (periplasm),b1528,1
GLCtex_copy2,,b0241 or b0929 or b1377 or b2215,3 or 3 or 1 or 3 
NAt3pp,Sodium transport out via proton antiport (cytoplasm to periplasm),b0842 or b1216,1 or 1 
SFGTHi,S-Formylglutathione hydralase,b2154 or b0355,4 or 1 
K2L4Aabcpp,KDO(2)-lipid IV A transport via ABC system (periplasm),b0914,2
DSBCGT,DsbC:glutathione thiotransferase,b2893,2
DSBGGT,DsbG:glutathione thiotransferase,b0604,2
DHNAOT4,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",b3930,1
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,b3994,1
THIORDXi,Hydrogen peroxide reductase (thioredoxin),b1710 or ( b3781 and b2480 ) or ( b2582 and b2480 ),1 or ( 1 and 1 ) or ( 1 and 1 ) 
PPPGO3,Protoporphyrinogen oxidase (anaerobic),b3850,4
PDX5POi,Pyridoxine 5'-phosphate oxidase,b1638,2
PLIPA1A181pp,"Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)",b3821,2
LPLIPAL2A141,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)",b3825,1
HG2t3pp,Mercury (Hg+2) transport out via proton antiport (periplasm),b3915,2
CYTBO3_4pp,Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),b0429 and b0432 and b0431 and b0430,1 and 1 and 1 and 1 
EAR141x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),b1288,4
EAR181x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),b1288,4
EAR181y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),b1288,4
G3PAT141,Glycerol-3-phosphate acyltransferase (C14:1),b1094 and b4041,1 and 1 
G3PAT181,Glycerol-3-phosphate acyltransferase (C18:1),b1094 and b4041,1 and 1 
DASYN140,CDP-diacylglycerol synthetase (n-C14:0),b0175,1
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),b0175,1
DASYN141,CDP-diacylglycerol synthetase (n-C14:1),b0175,1
CDAPPA160,CDP-Diacylglycerol pyrophostatase (n-C16:0),b3918,1
CDAPPA141,CDP-Diacylglycerol pyrophostatase (n-C14:1),b3918,1
PGSA141,Phosphatidylglycerol synthase (n-C14:1),b1912,1
5DOAN,5'-deoxyadenosine nuclosidase,b0159,2
FACOAE120,Fatty-acid-CoA thioesterase (dodecanoate),b0452,4
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),b1093,4
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),b0954 or b0180,2 or 6 
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),b0180 or b0954,6 or 2 
EAR180x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),b1288,4
SO4t2pp,Sulfate transport in via proton symport (periplasm to cytoplasm),b2413,1
EAR180y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),b1288,4
AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),b3018,1
PGPP120,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b0418 or b1278,1 or 1 
DAGK120,Diacylglycerol kinase (n-C12:0),b4042,3
PSSA180,Phosphatidylserine syntase (n-C18:0),b2585,1
PSSA161,Phosphatidylserine syntase (n-C16:1),b2585,1
PSSA141,Phosphatidylserine syntase (n-C14:1),b2585,1
PSD160,Phosphatidylserine decarboxylase (n-C16:0),b4160,1
PSD161,Phosphatidylserine decarboxylase (n-C16:1),b4160,1
PSD180,Phosphatidylserine decarboxylase (n-C18:0),b4160,1
COLIPAabcpp,Core oligosaccharide lipid A transport via ABC system (periplasm),b0914,2
PLIPA2A140pp,"Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)",b3821,2
PLIPA2A141pp,"Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)",b3821,2
PLIPA2A180pp,"Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)",b3821,2
GAM6Pt6_2pp,D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm),b3666,1
PPALtex,Propanal transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CA2tex,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CUtex,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CU1Opp,Cuprous Oxidase (Cu+1),b0123,1
SUCDi,Succinate dehydrogenase (irreversible),b0723 and b0721 and b0722 and b0724,3 and 3 and 3 and 3 
LPLIPAL1E141pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)",b0494,4
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,b3945,8
12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LPLIPAL1E160pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)",b0494,4
LPLIPAL1E180pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)",b0494,4
LPLIPAL1E181pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)",b0494,4
LPLIPAL1G160pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)",b0494,4
LPLIPAL1G161pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)",b0494,4
LPLIPAL1G120pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)",b0494,4
PLIPA2E140pp,"Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)",b3821,2
PLIPA2E160pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)",b3821,2
PLIPA2A161pp,"Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)",b3821,2
PLIPA2A181pp,"Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)",b3821,2
F6Ptex,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GAMAN6Ptex,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ALR4x,Aldose reductase (acetol),b3945,8
LPLIPAL1G141pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)",b0494,4
LPLIPAL1G180pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)",b0494,4
LPLIPAL1G181pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplasm)",b0494,4
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",b0118 or b1276,2 or 2 
GLCP2,Glycogen phosphorylase,b3417 or b3428,2 or 2 
F6Pt6_2pp,Fructose-6-phosphate transport via phosphate antiport (periplasm),b3666,1
PLIPA2E141pp,"Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)",b3821,2
PLIPA2E181pp,"Phospholipase A2 (phosphatidylethanolamine, n-C18:1) (periplasm)",b3821,2
PLIPA2G140pp,"Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)",b3821,2
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),b0954 or b0180,2 or 6 
PLIPA2G160pp,"Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)",b3821,2
PLIPA2G181pp,"Phospholipase A2 (phosphatidylglycerol, n-C18:1) (periplasm)",b3821,2
ASNS1,Asparagine synthase (glutamine-hydrolysing),b0674,2
EAR80y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),b1288,4
EAR120y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),b1288,4
3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),b1093,4
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),b0954 or b0180,2 or 6 
EAR121y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),b1288,4
GTHRDHpp,Glutathione hydralase (periplasmic),b3447,1
PROGLYtex,L-Prolinylglycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,1 or 2 or 2 or 1 or 1 or 1 
MDDCP3pp,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,1 or 2 or 2 or 1 or 1 or 1 
EAR140x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),b1288,4
EAR40y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),b1288,4
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),b1095,2
EAR161y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),b1288,4
G3PAT140,Glycerol-3-phosphate acyltransferase (C14:0),b1094 and b4041,1 and 1 
G3PAT160,Glycerol-3-phosphate acyltransferase (C16:0),b1094 and b4041,1 and 1 
G3PAT161,Glycerol-3-phosphate acyltransferase (C16:1),b1094 and b4041,1 and 1 
AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),b3018,1
CDAPPA140,CDP-Diacylglycerol pyrophostatase (n-C14:0),b3918,1
MLDCP1App,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b1678 or b1990 or b0925 or b1113 or b0819,1 or 1 or 1 or 1 or 1 
EAR160y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),b1288,4
EAR100y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),b1288,4
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),b1093,4
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),b1093,4
3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),b0954 or b0180,2 or 6 
EAR121x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),b1288,4
PSD140,Phosphatidylserine decarboxylase (n-C14:0),b4160,1
MICITDr,2-methylisocitrate dehydratase,b0118,2
CDAPPA181,CDP-Diacylglycerol pyrophostatase (n-C18:1),b3918,1
PGSA140,Phosphatidylglycerol synthase (n-C14:0),b1912,1
LPLIPAL1A141pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)",b0494,4
LPLIPAL1A180pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)",b0494,4
LPLIPAL1E140pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)",b0494,4
LPLIPAL1E161pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)",b0494,4
LPLIPAL1G140pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplasm)",b0494,4
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",b0118 or b1276,2 or 2 
MLDCP2App,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b0925 or b1678 or b1113 or b0819 or b1990,1 or 1 or 1 or 1 or 1 
PGPP120pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b0418 or b1278,1 or 1 
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",b0418 or b1278,1 or 1 
PGSA181,Phosphatidylglycerol synthase (n-C18:1),b1912,1
PGPP140,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b0418 or b1278,1 or 1 
PGPP141,Phosphatidylglycerol phosphate phosphatase (n-C14:1),b0418 or b1278,1 or 1 
MDDCP5pp,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,1 or 2 or 2 or 1 or 1 or 1 
MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),b0211 or b2963 or b2701 or b4392 or b2813 or b1193 or b2558 or b1097,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),b1094 and b4041,1 and 1 
AGPAT140,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0),b3018,1
PGSA160,Phosphatidylglycerol synthase (n-C16:0),b1912,1
MLDCP2Bpp,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b1678 or b0819 or b1113 or b1990 or b0925,1 or 1 or 1 or 1 or 1 
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),b2323 or b1095,2 or 2 
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),b1093,4
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),b1093,4
PGSA161,Phosphatidylglycerol synthase (n-C16:1),b1912,1
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),b0954 or b0180,2 or 6 
PGPP160,Phosphatidylglycerol phosphate phosphatase (n-C16:0),b0418 or b1278,1 or 1 
PGPP180,Phosphatidylglycerol phosphate phosphatase (n-C18:0),b0418 or b1278,1 or 1 
PGPP161,Phosphatidylglycerol phosphate phosphatase (n-C16:1),b0418 or b1278,1 or 1 
PGPP181,Phosphatidylglycerol phosphate phosphatase (n-C18:1),b1278 or b0418,1 or 1 
CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),b3918,1
NTP12,Nucleoside-triphosphatase (XTP),b4394,2
PE141abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",b0914,2
PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",b0914,2
PE161abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)",b0914,2
PSD141,Phosphatidylserine decarboxylase (n-C14:1),b4160,1
PG140abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)",b0914,2
PG141abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)",b0914,2
PG180abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)",b0914,2
PG181abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)",b0914,2
PGP141abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)",b0914,2
PGP160abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)",b0914,2
PGP180abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)",b0914,2
PAPA181pp,"Phosphatidate phosphatase (periplasmic, n-C18:1)",b1278,1
PA140abcpp,"Phosphatidate transport via ABC system (n-C14:0, periplasm)",b0914,2
MDDCP4pp,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b2430 or b0839 or b0632 or b3182 or b2010 or b0376,1 or 2 or 2 or 1 or 1 or 1 
CLPNS140pp,"Cardiolipin synthase (periplasmic, n-C14:0)",b1249 or b0789,1 or 1 
CLPNS141pp,"Cardiolipin synthase (periplasmic, n-C14:1)",b1249 or b0789,1 or 1 
PG120abcpp,"Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)",b0914,2
PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",b0914,2
CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",b1661,2
CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",b1661,2
CFAS180G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)",b1661,2
PAPA160,Phosphatidate phosphatase (n-C16:0),b1278,1
PAPA180,Phosphatidate phosphatase (n-C18:0),b1278,1
PAPA181,Phosphatidate phosphatase (n-C18:1),b1278,1
PETNT161pp,Phosphoethanolamine transferase (c-C16:1),b3546,1
PSSA160,Phosphatidylserine syntase (n-C16:0),b2585,1
PSSA181,Phosphatidylserine syntase (n-C18:1),b2585,1
DAGK140,Diacylglycerol kinase (n-C14:0),b4042,3
DAGK160,Diacylglycerol kinase (n-C16:0),b4042,3
DAGK141,Diacylglycerol kinase (n-C14:1),b4042,3
DAGK161,Diacylglycerol kinase (n-C16:1),b4042,3
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),b3018,1
MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b1655 or b2175 or b2328 or b3182 or b2134 or b0376 or b1856,1 or 1 or 2 or 1 or 1 or 1 or 1 
MDDEP4pp,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b1655 or b0376 or b2328 or b3182 or b2134 or b2175 or b1856,1 or 1 or 2 or 1 or 1 or 1 or 1 
MLTGY1pp,Murein lytic transglycosylase (murein4p4p) (periplasm),b0211 or b1193 or b2813 or b2963 or b4392 or b2701 or b2558 or b1097,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 
CGLYtex,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),b0954 or b0180,2 or 6 
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",b3821,2
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),b1095 or b2323,2 or 2 
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),b2323 or b1095,2 or 2 
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),b1093,4
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),b1093,4
MLDCP3App,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b1678 or b1990 or b0925 or b1113 or b0819,1 or 1 or 1 or 1 or 1 
MLDCP1Bpp,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b1678 or b1990 or b0925 or b1113 or b0819,1 or 1 or 1 or 1 or 1 
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,1
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",b3821,2
PLIPA1G141pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)",b3821,2
LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",b3825,1
LPLIPAL2G140,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",b3825,1
LPLIPAL2G160,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",b3825,1
2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,1
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,1
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,1
2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,1
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),b2835,1
